Title,Author,Citation,PMID,Free Access,Abstract,url_article
"
              
                Hierarchical Analysis Process for Belief Management in Internet of Drones.
              
            ","Gharrad H, Jabeur N, Yasar AU.",<built-in method split of str object at 0x000001C406F788F0>,36015907,Yes,"
              The performance of this concept has remarkably increased with the advent of the Internet of Things (IoT). Indeed, a myriad of innovative devices are being extensively deployed to collaboratively recognize and track events, objects, and activities of interest. ...In order t …
            ",https://pubmed.ncbi.nlm.nih.gov/36015907/
"
Unmanned Aerial Vehicle for Laser Based Biomedical Sensor Development and Examination of Device Trajectory.
              
            ","Masud U, Saeed T, Akram F, Malaikah H, Akbar A.",<built-in method split of str object at 0x000001C405C8C210>,35591103,Yes,"
              To address this increasingly tense situation in terms of emergencies, we plan to design an unmanned vehicle that can aid spontaneously to monitor the person's health, and help the physician spontaneously during the rescue mission. Simultaneously, that must be done in such …
            ",https://pubmed.ncbi.nlm.nih.gov/35591103/
"
              
                Evaluating the effectiveness of drones for quantifying invasive upside-down jellyfish (Cassiopea sp.) in Lake Macquarie, Australia.
              
            ","Rowe CE, Figueira WF, Kelaher BP, Giles A, Mamo LT, Ahyong ST, Keable SJ.",<built-in method split of str object at 0x000001C406EB46F0>,35045110,Yes,"
              To assess the efficacy of a drone-based methodology, we compared the densities and counts of Cassiopea from drone observations to conventional boat-based observations and evaluated cost and time efficiency of these methods. We showed that there was no significant di …
            ",https://pubmed.ncbi.nlm.nih.gov/35045110/
"
              
                Flight Controller as a Low-Cost IMU Sensor for Human Motion Measurement.
              
            ",Iluk A.,<built-in method split of str object at 0x000001C406823270>,36850941,Yes,"
              Widely used are optical methods such as the VICON system and sets of wired and wireless IMU sensors to estimate absolute orientation angles of extremities (Xsens). Both methods require expensive measurement devices and have disadvantages such as the limited rate of positio …
            ",https://pubmed.ncbi.nlm.nih.gov/36850941/
"
              
                Autonomous UAV System for Cleaning Insulators in Power Line Inspection and Maintenance.
              
            ","Lopez Lopez R, Batista Sanchez MJ, Perez Jimenez M, Arrue BC, Ollero A.",<built-in method split of str object at 0x000001C406C4D570>,34960582,Yes,"
              However, these operations involve potential risks for humans and the electrical structure. The use of Unmanned Aerial Vehicles (UAV) to reduce the risk of these tasks is rising. ...
            ",https://pubmed.ncbi.nlm.nih.gov/34960582/
"
              
                Estimation of dump and landfill waste volumes using unmanned aerial systems.
              
            ","Filkin T, Sliusar N, Huber-Humer M, Ritzkowski M, Korotaev V.",<built-in method split of str object at 0x000001C406786A30>,34998186,No,"
              The paper discusses how the choice of software and hardware components used in unmanned aerial systems (UAS) affects the accuracy of estimating volume on landfills and dumpsites, and the amount of ground work needed to create a high-altitude justification of referen …
            ",https://pubmed.ncbi.nlm.nih.gov/34998186/
"
              
                Automated Aircraft Dent Inspection via a Modified Fourier Transform Profilometry Algorithm.
              
            ","Lafiosca P, Fan IS, Avdelidis NP.",<built-in method split of str object at 0x000001C40674E330>,35062394,Yes,"
              This study discusses the feasibility of automated dent scanning via a single-shot triangular stereo Fourier transform algorithm, designed to be compatible with the use of an unmanned aerial vehicle. The original algorithm is modified introducing two main contributio …
            ",https://pubmed.ncbi.nlm.nih.gov/35062394/
"
              
                An improved UAV target detection algorithm based on ASFF-YOLOv5s.
              
            ","Shen S, Zhang X, Yan W, Xie S, Yu B, Wang S.",<built-in method split of str object at 0x000001C4073A63D0>,37322960,Yes,"
              Object detection in drone-captured scenarios is a recent popular task. Due to the high flight altitude of unmanned aerial vehicle (UAV), the large variation of target scales, and the existence of dense occlusion of targets, in addition to the high requirement …
            ",https://pubmed.ncbi.nlm.nih.gov/37322960/
"
              
                Synchronous Control of a Group of Flying Robots Following a Leader UAV in an Unfamiliar Environment.
              
            ","Wojtowicz K, Wojciechowski P.",<built-in method split of str object at 0x000001C406F78E30>,36679536,Yes,"
              An increasing number of professional drone flights require situational awareness of aerial vehicles. Vehicles in a group of drones must be aware of their surroundings and the other group members. ...The followers were tasked with following ArUco markers mount …
            ",https://pubmed.ncbi.nlm.nih.gov/36679536/
"
              
                Automated external defibrillators delivered by drones to patients with suspected out-of-hospital cardiac arrest.
              
            ","Schierbeck S, Hollenberg J, Nord A, Svensson L, Nordberg P, Ringh M, Forsberg S, Lundgren P, Axelsson C, Claesson A.",<built-in method split of str object at 0x000001C4051DFAF0>,34438449,No,"
              Primary outcome was the proportion of successful AED deliveries when drones were dispatched in cases of suspected OHCA. Among secondary outcomes was the proportion of cases where AED drones arrived prior to ambulance and time benefit vs. ambulance. ...AED delivery w …
            ",https://pubmed.ncbi.nlm.nih.gov/34438449/
"
              
                IoT Security and Computation Management on a Multi-Robot System for Rescue Operations Based on a Cloud Framework.
              
            ","Roy S, Vo T, Hernandez S, Lehrmann A, Ali A, Kalafatis S.",<built-in method split of str object at 0x000001C406030130>,35898074,Yes,"
              There is a growing body of literature that recognizes the importance of Multi-Robot coordination and Modular Robotics. This work evaluates the secure coordination of an Unmanned Aerial Vehicle (UAV) via a drone simulation in Unity and an Unmanned Groun …
            ",https://pubmed.ncbi.nlm.nih.gov/35898074/
"
              
                Ground Control System for UAS Safe Landing Area Determination (SLAD) in Urban Air Mobility Operations.
              
            ","Ariante G, Ponte S, Papa U, Greco A, Del Core G.",<built-in method split of str object at 0x000001C4073A4C60>,35590916,Yes,"
              The use of the Unmanned Aerial Vehicles (UAV) and Unmanned Aircraft System (UAS) for civil, scientific, and military operations, is constantly increasing, particularly in environments very dangerous or impossible for human actions. ...
            ",https://pubmed.ncbi.nlm.nih.gov/35590916/
"
              
                A three-dimensional LUR framework for PM(2.5) exposure assessment based on mobile unmanned aerial vehicle monitoring.
              
            ","Xu X, Qin N, Zhao W, Tian Q, Si Q, Wu W, Iskander N, Yang Z, Zhang Y, Duan X.",<built-in method split of str object at 0x000001C4067FA670>,35176409,No,"
",https://pubmed.ncbi.nlm.nih.gov/35176409/
"
              
                Ground Control System for UAS Safe Landing Area Determination (SLAD) in Urban Air Mobility Operations.
              
            ","Ariante G, Ponte S, Papa U, Greco A, Del Core G.",<built-in method split of str object at 0x000001C4073A46C0>,35590916,Yes,"
              The use of the Unmanned Aerial Vehicles (UAV) and Unmanned Aircraft System (UAS) for civil, scientific, and military operations, is constantly increasing, particularly in environments very dangerous or impossible for human actions. ...
            ",https://pubmed.ncbi.nlm.nih.gov/35590916/
